epoch,revenue
0,70.0
1,60.75096116641943
2,34.09553642817767
3,25.182494747147572
4,35.30828225457858
5,43.784531748678596
6,52.61837133441254
7,60.650307158022535
8,69.26081929419178
9,77.09395385949344
10,84.91427587105983
11,93.17887006946196
12,101.13671320843176
13,108.82573124665527
14,116.52210524625674
15,124.71342835281871
16,132.41535425233826
17,140.31131658604977
18,148.12855727667687
19,155.87733861789533
20,163.51713790003762
21,170.94964319594203
22,178.63210120831548
23,186.27363342669534
24,193.64114342552833
25,201.09132775255193
26,208.5642330175192
27,216.14431319630137
28,223.1243212351658
29,230.76146816165766
